GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°C),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometric pressure (from vehicle)(psi),Cost per mile/km (Instant)($/km),Cost per mile/km (Trip)($/km),Distance to empty (Estimated)(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Rail Pressure(psi),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Sun Feb 04 16:50:36 GMT+05:30 2018,04-Feb-2018 16:50:35.737,77.59373934,12.86152648,4.7,10.72,814.5341796875,350.7,0.10630906,0.15335627,0.32059789,0.94727397,-,12.47619057,12.47619057,13.05339622,0.34321105,0.06369779,221.66598511,0,44,4.24648857,44.31372452,1248.75,0.00685111,2.12806201,35.46769714,-,-,46.92596054,0.00815608,10.72000027,814.53417969,350.70001221,12.86152649,77.59374237,14,5.69463491,31,3.04579258,7.50928068,7.26726294,13.31657791,13.76005268,1.97000003,21.21265793,20.5289917,16.91999817,16,15.29411793,28.27761841,13.27860165,7.53075695,37.5101738,0.19629611,16.07271194,58,58.18299866,0,-10.00760365,14.39999962,58
Sun Feb 04 16:50:41 GMT+05:30 2018,04-Feb-2018 16:50:40.738,77.59372174,12.86166624,3.21,10.72,816.650146484375,350.0,0.0091507,0.00985055,0.35110456,0.84568405,-,12.56521702,12.56521702,13.05339622,0.10315608,0.06538795,221.87406921,0,45,0.84904498,23.92156982,1008.25,0.00853918,0.85312903,14.21881676,-,-,46.92287064,0.01016569,10.72000027,816.65014648,350,12.86166668,77.59371948,15,1.13858807,31,5.36639643,13.78702545,7.27706099,7.25304556,13.74152565,2.57999992,38.94639969,20.55666924,11.55599976,13,15.68627453,-,13.68918991,7.30488205,38.67002869,0.21384847,16.09026337,63,63.1570015,0,-7.6869998,14.39999962,49
Sun Feb 04 16:50:46 GMT+05:30 2018,04-Feb-2018 16:50:45.740,77.59371782,12.86179917,2.15,10.72,817.299072265625,301.6,0.14900534,-0.92763478,0.32730958,0.49302092,-,12.39999962,12.39999962,13.05339622,0.20163687,0.06941978,222.0370636,0,45,1.06955183,50.58823776,895.75,0.00934216,2.07715154,34.61919403,-,-,46.92139816,0.01112161,10.72000027,817.29907227,301.6000061,12.86179924,77.59371948,15,1.43429267,31,6.96181154,5.80111837,7.27945137,17.2376976,13.73701382,2.49000001,16.38734055,20.56342125,7.74000025,11,16.47058868,-,13.31042862,7.51274967,37.6000824,0.22923805,16.10565376,68,68.16300201,0,-5.5114336,14.30000019,55
Sun Feb 04 16:50:51 GMT+05:30 2018,04-Feb-2018 16:50:50.740,77.59366862,12.86181884,0.0,9.648001,817.10546875,0.0,0.1233694,-0.2340863,0.43859917,0.90694159,-,12.75862026,12.75862026,13.05339622,0.34473461,0.08654527,221.9924469,0,46,3.13833356,22.74509811,1362.75,0.01241934,2.92285728,48.71429062,-,-,46.91576385,0.01478493,9.64800072,817.10546875,0,12.86181927,77.59366608,20,4.20857477,31,4.35113192,4.20365047,7.27822781,23.78835297,13.73932266,2.16000009,11.87471867,20.55996513,0,18,23.92156982,-,12.83112431,7.79338694,36.24611282,0.2502093,16.12662506,73,73.19100189,0,-6.81677341,14.30000019,73
Sun Feb 04 16:50:56 GMT+05:30 2018,04-Feb-2018 16:50:55.736,77.59356517,12.86182726,0.59,9.648001,816.1845703125,278.2,-0.05191041,-0.09796266,0.51877236,0.68710774,-,12.86666679,12.86666679,13.05339622,0.06774325,0.085282,222.15711975,0,47,-,19.6078434,918.5,0.01355754,1.17846119,19.64101982,-,-,46.91367722,0.01613994,9.64800072,816.18457031,278.20001221,12.8618269,77.59356689,20,-,31,9.42745304,13.85414696,7.28778553,7.21790504,13.72130394,6.07999992,39.13600922,20.58696556,2.12399983,16,15.29411793,-,13.44738102,7.43623734,37.98695374,0.26952696,16.14594269,78,78.23799896,0,-9.42745304,14.30000019,66
Sun Feb 04 16:51:01 GMT+05:30 2018,04-Feb-2018 16:51:00.741,77.59316812,12.8619059,4.1,9.648001,817.753173828125,272.7,0.0402788,-0.18161225,0.3367666,0.86697787,-,13.12121201,13.12121201,13.05339622,0.06195229,0.08852725,222.48356628,0,48,-,23.92156982,1157.75,0.01585313,0.77492362,12.91539383,-,-,46.90947342,0.01887277,9.64800072,817.75317383,272.70001221,12.86190605,77.59317017,17,-,31,3.62594342,18.41669273,7.30094862,5.42974377,13.69656563,2.07999992,52.02455139,20.62414742,14.75999928,12,15.68627453,-,14.05899048,7.11273813,39.71466064,0.29006279,16.16647911,83,83.21099854,0,-9.42745304,14.30000019,57
Sun Feb 04 16:51:06 GMT+05:30 2018,04-Feb-2018 16:51:05.741,77.59304415,12.86194437,4.25,9.648001,817.17236328125,0.9,0.04249767,-0.1345091,0.44567639,0.83238351,-,13,13,13.05339622,0.06195229,0.09018818,222.6146698,0,48,2.53976631,65.09803772,1269.5,0.01625519,1.41122234,23.52037239,-,-,46.90873718,0.01935141,9.64800072,817.17236328,0.89999998,12.8619442,77.59304047,21,3.40588284,31,6.81677389,8.70937157,7.30150747,11.48164654,13.69551754,6.26999998,24.60274315,20.6257267,15.29999924,16,20.7843132,-,13.84500599,7.22267103,39.11018372,0.30919179,16.18560791,88,88.21900177,0,-3.62594318,14.39999962,53
Sun Feb 04 16:51:11 GMT+05:30 2018,04-Feb-2018 16:51:10.740,77.59282797,12.86192651,3.04,9.648001,817.794677734375,265.8,0.09401538,0.03474524,0.51120675,0.86618465,-,13.02564144,13.02564144,13.05339622,0.06195229,0.09018818,222.6146698,0,50,-,78.4313736,834,0.01625519,1.41122234,23.52037239,-,-,46.90873718,0.01935141,9.64800072,817.79467773,265.79998779,12.86192608,77.59282684,21,-,31,4.20609426,25.00822639,7.30853128,3.9986012,13.68235588,2.07999992,70.64470673,20.64556885,10.94399929,9,23.13725471,-,14.27436066,7.00542212,40.32305145,0.32601246,16.20242882,93,93.23300171,0,-9.57249069,14.39999962,50
Sun Feb 04 16:51:16 GMT+05:30 2018,04-Feb-2018 16:51:15.740,77.59263423,12.86191082,4.84,9.648001,815.2076416015625,261.0,0.0151174,-0.13267991,0.39320543,0.82603735,-,13.04878044,13.04878044,13.05339622,0.11868247,0.09202518,222.78657532,0,50,4.55461216,70.19608307,1203,0.01917128,2.47931337,41.32189178,-,-,46.90339661,0.02282295,9.64800072,815.2076416,261,12.86191082,77.59263611,21,6.10783529,31,5.07632065,5.16263008,7.30656815,19.36956787,13.68603134,2.3599999,14.58370113,20.64002228,17.42399979,16,20.7843132,29.58803749,13.59992695,7.35282755,38.41787338,0.34759912,16.22401428,98,98.16300201,0,-2.46564102,14.19999981,54
Sun Feb 04 16:51:21 GMT+05:30 2018,04-Feb-2018 16:51:20.740,77.59246879,12.86192518,2.63,9.648001,815.585205078125,279.8,-0.03437035,-0.06117048,0.43805012,0.75800586,-,13.04444408,13.04444408,13.05339622,0.08215784,0.09135181,222.93606567,0,51,0.8280642,44.31372452,651.75,0.02000327,0.78337091,13.05618191,-,-,46.90187454,0.02381342,9.64800072,815.58520508,279.79998779,12.86192513,77.59246826,21,1.11045241,31,8.26715088,18.15484238,7.31685305,5.50805759,13.66679382,3.16000009,51.28486633,20.66907692,9.46800041,11,20.7843132,12.13235283,14.04602051,7.11930609,39.67802429,0.36341995,16.23983574,103,103.19400024,0,-9.42745304,14.19999981,52
