"","GPS.Time","Device.Time","Longitude","Latitude","GPS.Speed..Meters.second.","Horizontal.Dilution.of.Precision","Altitude","Bearing","Acceleration.Sensor.Total..g.","Acceleration.Sensor.X.axis..g.","Acceleration.Sensor.Y.axis..g.","Acceleration.Sensor.Z.axis..g.","Ambient.air.temp..C.","Average.trip.speed.whilst.moving.only..km.h.","Average.trip.speed.whilst.stopped.or.moving..km.h.","Barometric.pressure..from.vehicle..psi.","Cost.per.mile.km..Instant....km.","Cost.per.mile.km..Trip....km.","Distance.to.empty..Estimated..km.","Distance.travelled.with.MIL.CEL.lit.km.","Engine.Coolant.Temperature..C.","Engine.kW..At.the.wheels..kW.","Engine.Load...","Engine.RPM.rpm.","Fuel.cost..trip..cost.","Fuel.flow.rate.hour.l.hr.","Fuel.flow.rate.minute.cc.min.","Fuel.Level..From.Engine.ECU....","Fuel.Rail.Pressure.psi.","Fuel.Remaining..Calculated.from.vehicle.profile....","Fuel.used..trip..l.","GPS.Accuracy.m.","GPS.Altitude.m.","GPS.Bearing...","GPS.Latitude...","GPS.Longitude...","GPS.Satellites","Horsepower..At.the.wheels..hp.","Intake.Air.Temperature..C.","Intake.Manifold.Pressure.psi.","Kilometers.Per.Litre.Instant..kpl.","Kilometers.Per.Litre.Long.Term.Average..kpl.","Litres.Per.100.Kilometer.Instant..l.100km.","Litres.Per.100.Kilometer.Long.Term.Average..l.100km.","Mass.Air.Flow.Rate.g.s.","Miles.Per.Gallon.Instant..mpg.","Miles.Per.Gallon.Long.Term.Average..mpg.","Speed..GPS..km.h.","Speed..OBD..km.h.","Throttle.Position.Manifold....","Torque.Nm.","Trip.average.KPL.kpl.","Trip.average.Litres.100.KM.l.100km.","Trip.average.MPG.mpg.","Trip.Distance.km.","Trip.distance..stored.in.vehicle.profile..km.","Trip.Time.Since.journey.start..s.","Trip.time.whilst.moving..s.","Trip.time.whilst.stationary..s.","Turbo.Boost...Vacuum.Gauge.psi.","Voltage..OBD.Adapter..V.","Volumetric.Efficiency..Calculated...."
"1771","Sun Feb 04 15:17:12 GMT+05:30 2018","04-Feb-2018 15:17:11.177",77.58894344,12.85767292,4.64,9.648001,829.16259765625,200.4,-0.04267984,-0.10461369,0.89937884,0.20985451,NA,"11.590909","10","12.90835857","0.10407154","0.35507563","236.09768677","0",90,"-","18.8235302",1261,"0.35888189","1.76567018","29.42783546","-","-","48.61902618","0.42724037",9.64800072,829.16259766,200.3999939,12.85767269,77.58894348,28,"-",32,3.48090577,11.89329433,7.47386646,"8.40792465",13.37967682,"-",33.59687805,21.11261749,"16.70399857",17,5.88235283,"-","4.23677683","23.60235596","11.968297","1.6341933",5.43040514,582,508.00100708,74.25900269,-9.42745304,13.89999962,"-"
"1772","Sun Feb 04 15:17:13 GMT+05:30 2018","04-Feb-2018 15:17:12.177",77.58893958,12.85763368,4.26,9.648001,829.234130859375,195.5,0.02795594,-0.12541915,0.91292506,0.35476324,NA,"11.590909","10","12.90835857","0.13496086","0.3539266","236.19139099","0",90,"-","18.8235302",1146.5,"0.35939077","1.66994226","27.83237076","-","-","48.6180954","0.42784619",9.64800072,829.23413086,195.5,12.85763359,77.58893585,28,"-",32,4.06105661,10.17981625,7.47576666,"9.82315636",13.37627602,"-",28.75654221,21.11798477,"15.33600044",17,5.88235283,"-","4.24752378","23.54263878","11.99865532","1.6341933",5.43040514,583,508.90701294,74.25900269,-8.84730148,14,"-"
"1773","Sun Feb 04 15:17:14 GMT+05:30 2018","04-Feb-2018 15:17:13.179",77.58893684,12.85759584,4.02,9.648001,828.927368164062,187.8,0.0705403,-0.02498802,0.91713405,0.4509216,NA,"11.60699558","10.01953793","12.90835857","0.13496086","0.3539266","236.24861145","0",90,"-","25.09803963",1123.25,"0.3597078","1.73521125","28.920187","-","-","48.61751556","0.42822361",9.64800072,828.92736816,187.80000305,12.85759544,77.58893585,27,"-",32,4.6412077,9.2206192,7.47699118,"10.84503365",13.37408543,"-",26.04694557,21.1214447,"14.47199917",15,5.88235283,"-","4.25650072","23.49298859","12.02401352","1.64348924",5.43970108,584,509.94299316,74.25900269,-8.26715088,14,"-"
"1774","Sun Feb 04 15:17:15 GMT+05:30 2018","04-Feb-2018 15:17:14.178",77.58893283,12.85754885,4.52,9.648001,829.192993164062,191.3,0.05573598,-0.17477924,0.98498201,0.23627353,NA,"11.61396313","10.02836895","12.90835857","0.11118557","0.35255361","236.28442383","0",90,"-","25.88235283",1085.25,"0.36003301","1.75314844","29.21914101","-","-","48.61692047","0.42861074",9.64800072,829.19299316,191.30000305,12.85754871,77.58893585,25,"-",32,4.78624535,8.55588627,7.47774792,"11.68761635",13.37273216,"-",24.16917038,21.12358093,"16.27199936",15,5.88235283,"-","4.26424742","23.45030975","12.04589653","1.64683092",5.44304276,585,511.01300049,74.25900269,-8.12211323,14,"-"
"1775","Sun Feb 04 15:17:16 GMT+05:30 2018","04-Feb-2018 15:17:15.179",77.58893967,12.85751571,4.08,9.648001,828.7958984375,187.8,0.03521679,0.07208494,0.85020226,0.48557818,NA,"11.61885262","10.03539848","12.90835857","0.11118557","0.35236073","236.30355835","0",90,"-","25.88235283",1041.5,"0.36056766","1.74516714","29.0861187","-","-","48.61594009","0.42924726",9.64800072,828.79589844,187.80000305,12.85751534,77.58894348,26,"-",32,4.931283,8.59501553,7.47853088,"11.634408",13.37133217,"-",24.27970505,21.12579346,"14.68799973",14,5.88235283,"-","4.27203655","23.40755272","12.0678997","1.65212345",5.44833517,586,511.92700195,74.25900269,-7.97707558,14,"-"
"1776","Sun Feb 04 15:17:17 GMT+05:30 2018","04-Feb-2018 15:17:16.179",77.58893583,12.85747648,3.93,9.648001,829.217407226562,185.3,-0.02749806,0.10002983,0.79175067,0.4551928,NA,"11.62167645","10.04063606","12.90835857","0.15909401","0.35236073","236.32546997","0",90,"-","26.66666794",1029.75,"0.36088654","1.67481375","27.91356277","-","-","48.61535645","0.42962688",9.64800072,829.21740723,185.30000305,12.85747623,77.58893585,27,"-",32,4.931283,8.35899353,7.47914743,"11.96291447",13.37022972,"-",23.61297417,21.12753487,"14.14799976",13,5.88235283,"-","4.27937365","23.36741829","12.08862686","1.65537846",5.45159006,587,512.91998291,74.25900269,-7.97707558,14.10000038,"-"
"1777","Sun Feb 04 15:17:18 GMT+05:30 2018","04-Feb-2018 15:17:17.178",77.58893141,12.85743996,3.93,9.648001,829.180419921875,192.6,-0.06363142,-0.17783099,0.7190218,0.47233835,NA,"11.62448978","10.04585552","12.90835857","0.15909401","0.35116386","236.34208679","0",90,"-","27.05882454",1024.5,"0.36120802","1.65591884","27.59864807","-","-","48.61476898","0.43000957",9.64800072,829.18041992,192.6000061,12.85743999,77.58892822,26,"-",32,4.931283,7.85049009,7.47940731,"12.73779392",13.36976528,"-",22.17652512,21.1282692,"14.14799976",13,5.88235283,"-","4.28577375","23.33252525","12.10670567","1.65824926",5.4544611,588,513.95800781,74.25900269,-7.97707558,14,"-"
"1778","Sun Feb 04 15:17:19 GMT+05:30 2018","04-Feb-2018 15:17:18.177",77.58892824,12.85740406,4.05,9.648001,828.97216796875,185.3,0.06890926,-0.11132383,0.83720505,0.55458492,NA,"11.62729168","10.05105591","12.90835857","0.21887691","0.35105249","236.3457489","0",90,"-","62.74509811",1005.25,"0.3617197","1.69593155","28.26552582","-","-","48.61383057","0.4306187",9.64800072,828.97216797,185.30000305,12.85740376,77.58892822,26,"-",32,5.07632065,7.66527033,7.47953701,"13.04558277",13.36953354,"-",21.65330505,21.12863541,"14.57999992",13,5.88235283,"-","4.2918191","23.29965782","12.12378311","1.66290402",5.45911551,589,514.99499512,74.25900269,-7.83203793,14,"-"
"1779","Sun Feb 04 15:17:20 GMT+05:30 2018","04-Feb-2018 15:17:19.177",77.58892714,12.85736873,3.8,9.648001,828.841796875,183.5,0.05185164,-0.04908944,0.98333478,0.26916003,NA,"11.63414669","10.05975437","12.90835857","0.21887691","0.35105249","236.34291077","0",90,"-","83.92156982",1119.5,"0.36249873","4.18393612","69.73226929","-","-","48.61240387","0.43154615",9.64800072,828.84179688,183.5,12.85736847,77.58892822,28,"-",32,12.76332092,3.10706782,7.47648144,"32.18401718",13.37499714,"-",8.77702713,21.12000465,"13.67999935",15,32.54901886,"-","4.28970385","23.31114769","12.11780739","1.66591406",5.46212578,590,515.91998291,74.25900269,-0.14503765,14,"-"
"1780","Sun Feb 04 15:17:21 GMT+05:30 2018","04-Feb-2018 15:17:20.177",77.5889307,12.85731094,5.32,9.648001,828.76708984375,176.4,0.01214221,0.0091786,0.9399538,0.27434584,NA,"11.64705849","10.07368374","12.90835857","0.3393465","0.35099864","236.23890686","0",90,"6.29270029","85.09803772",1370,"0.36333588","4.65945482","77.65757751","-","-","48.61087036","0.43254274",9.64800072,828.76708984,176.3999939,12.85731125,77.58892822,29,"8.43865013",32,12.76332092,3.2192049,7.47350883,"31.06292534",13.38031769,"-",9.09379864,21.1116066,"19.15200043",18,32.94117737,"43.86100006","4.28779554","23.32152176","12.11241627","1.66944325",5.46565485,591,517.00799561,74.25900269,-0.14503765,14,"-"
"1781","Sun Feb 04 15:17:22 GMT+05:30 2018","04-Feb-2018 15:17:21.176",77.58892925,12.85725934,6.27,9.648001,829.107421875,184.9,0.0185474,-0.13328964,0.7639271,0.55983293,NA,"11.67611313","10.10157585","12.90835857","0.61021483","0.35154662","236.1330719","0",90,"14.65696907","85.09803772",1845.25,"0.36467403","3.75817418","62.63623428","-","-","48.60841751","0.43413579",9.64800072,829.10742188,184.8999939,12.85725975,77.58892822,29,"19.65531921",32,8.41218853,4.78947687,7.47163582,"20.87867355",13.38367176,"-",13.52959538,21.10631561,"22.5719986",26,32.94117737,"75.84919739","4.28868818","23.31666756","12.11493874","1.67881155",5.47502327,592,517.95800781,74.25900269,-4.49617004,14,"-"
"1782","Sun Feb 04 15:17:23 GMT+05:30 2018","04-Feb-2018 15:17:22.183",77.588927,12.85719623,6.65,9.648001,830.0537109375,182.6,0.0242147,-0.00473162,0.75794804,0.58832538,NA,"11.67611313","10.10157585","13.05339622","0.61021483","0.35007843","236.06930542","0",90,"14.65696907","36.07843018",1845.25,"0.36518893","1.83274829","30.54580498","-","-","48.60747528","0.43474874",9.64800072,830.05371094,182.6000061,12.85719585,77.58892822,28,"19.65531921",32,3.04579258,14.1860981,7.47631788,"7.04900789",13.37528992,"-",40.07372284,21.11954308,"23.94000053",26,5.88235283,"75.84919739","4.30626774","23.22148132","12.16459846","1.67881155",5.47502327,593,518.91900635,74.25900269,-10.00760365,14,"-"
"1783","Sun Feb 04 15:17:24 GMT+05:30 2018","04-Feb-2018 15:17:23.178",77.58892239,12.85713705,6.43,9.648001,829.47802734375,185.8,0.02068081,0.0194289,0.8227458,0.50314987,NA,"11.7278223","10.15183258","13.05339622","0.07530614","0.35007843","236.21438599","0",90,"14.65696907","14.50980377",1755,"0.36551213","1.76462972","29.41049576","-","-","48.606884","0.43513355",9.64800072,829.47802734,185.80000305,12.85713673,77.58892059,27,"19.65531921",32,2.90075469,14.16703224,7.4809804,"7.05849457",13.36695385,"-",40.01986694,21.13271332,"23.14799881",24,5.88235283,"75.84919739","4.32375145","23.12758255","12.21398735","1.69275093",5.48896265,594,519.95800781,74.25900269,-10.1526413,14,"-"
"1784","Sun Feb 04 15:17:25 GMT+05:30 2018","04-Feb-2018 15:17:24.177",77.58891728,12.85708228,6.32,9.648001,830.528076171875,185.6,0.00681822,0.01107157,0.81469178,0.49088532,NA,"11.74849129","10.17247391","13.05339622","0.07530614","0.34787035","236.35824585","0",90,"14.65696907","14.90196133",1596.75,"0.36589861","1.82611501","30.43525124","-","-","48.60617447","0.43559361",9.64800072,830.52807617,185.6000061,12.85708237,77.58892059,27,"19.65531921",32,3.19083023,13.14242649,7.48492289,"7.60878658",13.35991287,"-",37.12549973,21.14385033,"22.75200081",22,5.88235283,"75.84919739","4.33935976","23.04439545","12.25807858","1.6988076",5.49501896,595,520.90698242,74.25900269,-9.86256599,14,"-"
