GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°C),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometric pressure (from vehicle)(psi),Cost per mile/km (Instant)($/km),Cost per mile/km (Trip)($/km),Distance to empty (Estimated)(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Rail Pressure(psi),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Sun Feb 04 15:39:15 GMT+05:30 2018,04-Feb-2018 15:39:15.029,77.59359965,12.86079496,0.0,9.648001,822.3740234375,0.0,0.01652835,-0.14896995,0.71328539,0.6082769,28,8.55000019,7.125,-,0.17553736,0.26199666,226.81105042,0,64,2.78573704,36.86274719,1062.75,0.01723678,1.468081,24.46801758,-,-,48.07178879,0.02051998,9.64800072,822.37402344,0,12.86079502,77.59359741,18,3.73573494,32,4.6412077,4.76804638,7.25731325,20.97251511,13.77891731,-,13.46905708,20.50088501,0,13,7.84313726,-,5.41396666,18.4703598,15.29369164,0.11752346,7.49267244,49,49.93500137,0,-8.89849091,14,-
Sun Feb 04 15:39:20 GMT+05:30 2018,04-Feb-2018 15:39:20.031,77.59368827,12.86100212,3.84,10.72,824.816650390625,358.8,-0.07198893,-0.08319695,0.64439994,0.56215054,28,9.41666698,8.0714283,-,0.15667695,0.24824338,226.76010132,0,65,-,16.07843208,946.75,0.01846283,1.15003622,19.16727066,-,-,48.06954193,0.02197957,10.72000027,824.81665039,358.79998779,12.86100197,77.59368896,21,-,32,3.62594342,12.17331791,7.25986147,8.21451664,13.77408123,-,34.38790131,20.50808334,13.8239994,12,7.84313726,-,5.72121,17.4784565,16.16160965,0.13531859,7.51046753,54,54.9070015,0,-11.50916958,14.19999981,-
Sun Feb 04 15:39:25 GMT+05:30 2018,04-Feb-2018 15:39:25.035,77.59361099,12.86117541,4.13,10.72,823.0404052734375,345.0,-0.03917892,-0.13152111,0.64342469,0.60089481,28,9.70370388,8.45161247,-,0.11111015,0.2296702,226.88954163,0,66,-,19.6078434,873.5,0.0199112,1.03315496,17.21924973,-,-,48.06689072,0.02370381,10.72000027,823.04040527,345,12.86117554,77.59361267,16,-,32,3.48090577,11.61470604,7.26411057,8.6095953,13.76602364,-,32.80990601,20.52008629,14.86800003,11,7.84313726,10.30874538,6.19131756,16.15131569,17.48959732,0.15187317,7.52702188,60,60.00999832,0,-11.36413193,14.10000038,-
Sun Feb 04 15:39:30 GMT+05:30 2018,04-Feb-2018 15:39:30.029,77.59362102,12.86129634,2.09,9.648001,822.1422119140625,9.9,-0.13983819,-0.03957019,0.6257301,0.48844638,28,9.73333359,8.5882349,-,0.12693754,0.22104958,226.98747253,0,66,-,36.07843018,880.25,0.02121304,1.3251276,22.08546066,-,-,48.06450653,0.02525362,9.64800072,822.14221191,9.89999962,12.86129665,77.5936203,19,-,32,5.51143408,7.54631186,7.26549673,13.25123119,13.76339722,-,21.31726456,20.52400208,7.52399969,11,7.84313726,-,6.37688589,15.6813097,18.01380157,0.16398193,7.53913069,64,64.97899628,0,-9.62367916,14.10000038,-
Sun Feb 04 15:39:35 GMT+05:30 2018,04-Feb-2018 15:39:35.035,77.59367783,12.86142361,3.17,10.72,822.7947998046875,20.5,-0.02037653,-0.16818887,0.71615356,0.546408,28,9.84375,8.75,-,0.20206845,0.2188141,226.9810791,0,66,5.41716671,27.05882454,1329,0.02247603,1.29061294,21.51021576,-,-,48.06219482,0.02675718,10.72000027,822.7947998,20.5,12.86142349,77.59368134,19,7.2645402,32,3.19083023,8.52293301,7.26614714,11.73280621,13.76216602,-,24.07608223,20.52583885,11.4119997,17,10.58823586,19.3261776,6.45636892,15.48826027,18.23833084,0.18522248,7.5603714,70,70.04299927,0,-10.20382977,14.10000038,-
Sun Feb 04 15:39:40 GMT+05:30 2018,04-Feb-2018 15:39:40.029,77.5937664,12.86160533,3.45,10.72,821.4200439453125,22.7,0.08834737,-0.20437133,0.50992507,0.83909523,28,10.08108139,9.09756088,-,0.09884784,0.2051501,227.09132385,0,66,-,17.64705849,884.5,0.02416473,1.27189541,21.19825745,-,-,48.0591011,0.02876754,10.72000027,821.42004395,22.70000076,12.86160564,77.59376526,20,-,32,3.91601896,11.79321671,7.27182961,8.47927475,13.75141144,-,33.31417084,20.5418911,12.42000008,5,8.23529434,-,6.89158249,14.51015377,19.46774673,0.19838791,7.57353687,74,74.97699738,0,-11.21909428,14.10000038,-
Sun Feb 04 15:39:45 GMT+05:30 2018,04-Feb-2018 15:39:45.031,77.59378258,12.86174007,3.25,10.72,821.813232421875,10.7,0.0580755,0.0166229,0.58918208,0.77826381,28,9.76923084,8.86046505,-,0.16553906,0.2047189,227.11132812,0,67,0.42329425,26.66666794,806.25,0.02530263,1.1202631,18.67105293,-,-,48.05701828,0.03012218,10.72000027,821.81323242,10.69999981,12.86174011,77.59378052,18,0.56764692,32,4.6412077,3.57052755,7.26853943,28.00648308,13.75763607,-,10.086236,20.5325985,11.69999981,6,8.23529434,-,6.71042871,14.90186691,18.95601463,0.20471722,7.57986593,79,79.78199768,0,-10.92901802,14.10000038,-
Sun Feb 04 15:39:50 GMT+05:30 2018,04-Feb-2018 15:39:50.032,77.59373343,12.86180974,0.37,9.648001,824.4776611328125,31.3,-0.00875222,-0.05775319,0.41498616,0.79797113,28,9.52380943,8.33333302,-,0.33732805,0.20707418,227.0020752,0,68,-,29.01960754,1005,0.02665645,1.22138286,20.35638046,-,-,48.05453873,0.03173387,9.64800072,824.47766113,31.29999924,12.86180973,77.59373474,21,-,32,3.19083023,4.91237879,7.2661128,20.3563118,13.76223087,-,13.8767767,20.52574348,1.33200002,0,8.23529434,-,6.60159445,15.14754009,18.64857292,0.20971431,7.58486319,84,83.05899811,1.86199999,-10.05879211,14.10000038,-
Sun Feb 04 15:39:55 GMT+05:30 2018,04-Feb-2018 15:39:55.029,77.59372692,12.86179932,1.16,10.72,816.5753173828125,18.0,-0.05835279,-0.37759048,0.1912466,0.74079967,28,9.52380943,7.84313726,-,0.45229325,0.21234433,226.94862366,0,68,-,22.74509811,797.25,0.02780944,1.01521778,16.92029762,-,-,48.05242538,0.03310648,10.72000027,816.57531738,18,12.86179924,77.59372711,21,-,32,3.77098107,0,7.26593447,-,13.76256847,-,0,20.52523804,4.17599964,0,8.23529434,-,6.59234858,15.1687851,18.62245369,0.20971431,7.58486319,89,83.05899811,6.84399986,-10.78398132,14,-
Sun Feb 04 15:40:00 GMT+05:30 2018,04-Feb-2018 15:40:00.030,77.59369257,12.86175828,0.0,9.648001,820.2598876953125,0.0,0.00620272,-0.54385525,0.03621046,0.7453773,28,9.52380943,6.89655161,-,∞,0.22135311,226.93296814,0,68,-,21.17647171,783,0.02897764,0.97823197,16.30386734,-,-,48.05028534,0.03449719,9.64800072,820.2598877,0,12.86175823,77.59368896,24,-,32,3.62594342,0,7.26575661,-,13.76290607,-,0,20.5247364,0,0,8.23529434,-,6.58337975,15.18945122,18.59711838,0.20971431,7.58486319,94,83.05899811,11.93400002,-10.92901802,14,-
Sun Feb 04 15:40:05 GMT+05:30 2018,04-Feb-2018 15:40:05.033,77.59369364,12.86176262,0.0,9.648001,820.922607421875,0.0,0.01202104,-0.59284979,0.02059081,0.7195074,28,9.52380943,6.45161295,-,∞,0.22960722,226.91819763,0,69,-,21.17647171,783.25,0.03004098,0.92464513,15.4107523,-,-,48.04833984,0.03576307,9.64800072,820.92260742,0,12.861763,77.59369659,16,-,32,3.62594342,0,7.26557827,-,13.76324272,-,0,20.52423286,0,0,7.84313726,-,6.57467127,15.20956898,18.5725174,0.20971431,7.58486319,99,83.05899811,16.90800095,-11.07405663,14.10000038,-
Sun Feb 04 15:40:10 GMT+05:30 2018,04-Feb-2018 15:40:10.029,77.59371471,12.86176507,0.0,9.648001,821.3807373046875,0.0,0.00173937,-0.57289827,0.02986429,0.72078753,28,9.52380943,5.88235283,-,∞,0.24052702,226.90136719,0,69,-,21.17647171,778.25,0.03134312,0.9261232,15.43538666,-,-,48.04595184,0.03731324,9.64800072,821.3807373,0,12.86176491,77.59371185,21,-,32,3.62594342,0,7.26522255,-,13.76391697,-,0,20.52322769,0,0,8.23529434,-,6.55798149,15.24827766,18.52537155,0.20971431,7.58486319,104,83.05899811,21.88599968,-11.07405663,14,-
Sun Feb 04 15:40:15 GMT+05:30 2018,04-Feb-2018 15:40:15.034,77.59373086,12.86176076,0.0,9.648001,822.150146484375,0.0,0.03558241,-0.49980232,0.05060909,0.80517125,28,9.52380943,5.71428585,-,∞,0.24729094,226.88819885,0,69,-,21.17647171,777.5,0.03222453,0.92021108,15.33685207,-,-,48.04433823,0.03836254,9.64800072,822.15014648,0,12.86176109,77.59372711,23,-,32,3.62594342,0,7.26504469,-,13.76425362,-,0,20.52272606,0,0,8.23529434,-,6.54997396,15.26691818,18.5027523,0.20971431,7.58486319,109,83.05899811,26.89999962,-11.07405663,13.89999962,-
Sun Feb 04 15:40:20 GMT+05:30 2018,04-Feb-2018 15:40:20.033,77.59373241,12.86176077,0.0,10.72,822.0625,0.0,0.019297,-0.52750301,0.06329986,0.76947719,28,9.52380943,5.19480515,-,∞,0.25458744,226.8674469,0,69,-,21.17647171,776,0.03333997,0.95609725,15.93495369,-,-,48.04229736,0.03969045,10.72000027,822.0625,0,12.86176109,77.59373474,21,-,33,3.77098107,0,7.26468945,-,13.76492691,-,0,20.52172089,0,0,8.23529434,-,6.53457832,15.30288792,18.45926094,0.20971431,7.58486319,114,83.05899811,31.8939991,-10.92901802,14,-
Sun Feb 04 15:40:25 GMT+05:30 2018,04-Feb-2018 15:40:25.033,77.59373196,12.86176142,0.0,9.648001,821.8465576171875,0.0,0.05041928,-0.54208517,0.05927285,0.79736143,28,9.52380943,5,-,∞,0.26320535,226.84701538,0,69,-,21.17647171,776.75,0.03442284,0.95113575,15.8522625,-,-,48.04031372,0.04097957,9.64800072,821.84655762,0,12.86176109,77.59373474,23,-,33,3.62594342,0,7.26451206,-,13.76526356,-,0,20.52122116,0,0,8.23529434,-,6.52716923,15.32025814,18.4383316,0.20971431,7.58486319,119,83.05899811,36.87400055,-10.92901802,13.89999962,-
Sun Feb 04 15:40:30 GMT+05:30 2018,04-Feb-2018 15:40:30.034,77.59373112,12.86176224,0.0,9.648001,821.7930908203125,0.0,0.02198202,-0.53104162,0.05256116,0.77118659,28,9.52380943,4.70588255,-,∞,0.2714588,226.83190918,0,69,-,21.17647171,780.25,0.03552868,0.95205504,15.86758423,-,-,48.03828812,0.04229605,9.64800072,821.79309082,0,12.86176205,77.59373474,23,-,33,3.62594342,0,7.26433468,-,13.76559925,-,0,20.52071953,0,0,7.84313726,-,6.51994085,15.33724308,18.41791344,0.20971431,7.58486319,124,83.05899811,41.88700104,-10.92901802,14,-
Sun Feb 04 15:40:35 GMT+05:30 2018,04-Feb-2018 15:40:35.033,77.59373,12.86176261,0.0,9.648001,821.618408203125,0.0,0.01463898,-0.2849707,0.27166399,0.8347618,28,9.52380943,4.5454545,-,∞,0.28191274,226.81591797,0,70,-,21.17647171,778.5,0.0367361,0.9142589,15.23764896,-,-,48.03607559,0.04373346,9.64800072,821.6184082,0,12.861763,77.59372711,25,-,33,3.62594342,0,7.26397991,-,13.76627159,-,0,20.51971817,0,0,8.23529434,-,6.50599289,15.37012386,18.37851143,0.20971431,7.58486319,129,83.05899811,46.93099976,-11.07405663,14,-
Sun Feb 04 15:40:40 GMT+05:30 2018,04-Feb-2018 15:40:40.033,77.59372967,12.86176273,0.0,9.648001,821.444091796875,0.0,0.00052867,-0.15885472,0.35818177,0.82024181,28,9.52380943,4.347826,-,∞,0.28996614,226.80131531,0,70,-,21.96078491,789,0.03778554,0.91749996,15.29166603,-,-,48.03415298,0.04498279,9.64800072,821.4440918,0,12.861763,77.59372711,22,-,33,3.62594342,0,7.26380301,-,13.76660728,-,0,20.51921654,0,0,8.23529434,-,6.49925804,15.38605213,18.35948563,0.20971431,7.58486319,135,83.05899811,52.10800171,-11.07405663,14.10000038,-
Sun Feb 04 15:40:45 GMT+05:30 2018,04-Feb-2018 15:40:45.031,77.59372956,12.86176284,0.0,9.648001,821.4166259765625,0.0,0.01026693,-0.18313813,0.34970155,0.82957596,28,9.52380943,4.30107546,-,∞,0.30608913,226.77207947,0,70,-,64.70588684,1299.75,0.03988653,1.45315027,24.21917152,-,-,48.03030777,0.04748397,9.64800072,821.41662598,0,12.861763,77.59372711,24,-,33,3.04579258,0,7.26344919,-,13.76727772,-,0,20.51821709,0,0,7.84313726,-,6.4862318,15.41695118,18.32268906,0.20971431,7.58486319,139,83.05899811,57.04700089,-1.64660358,13,-
Sun Feb 04 15:40:50 GMT+05:30 2018,04-Feb-2018 15:40:50.034,77.59373903,12.86178406,1.19,9.648001,820.23974609375,31.2,0.05710941,0.48698243,0.30162162,0.78802574,28,9.27272701,4.12121201,-,∞,0.32083726,226.74441528,0,70,1.27462769,29.80392265,916,0.04180836,1.35132372,22.5220623,-,-,48.0267868,0.04977186,9.64800072,820.23974609,31.20000076,12.86178398,77.59374237,23,1.70930386,33,5.22135878,0,7.26309538,-,13.76794815,-,0,20.51721954,4.28399992,6,7.84313726,4.49215889,6.47375727,15.44665909,18.28744888,0.21263751,7.5877862,144,86.24900055,58.90100098,-9.47864151,13.80000019,-
Sun Feb 04 15:40:55 GMT+05:30 2018,04-Feb-2018 15:40:55.029,77.59371292,12.86182782,1.5,9.648001,821.067626953125,293.1,-0.0686715,-0.33689412,0.28069326,0.72127593,28,9.22222233,4.1500001,-,0.7537626,0.32423061,226.72999573,0,71,-,20.7843132,780,0.04283948,1.1227324,18.71220779,-,-,48.02489853,0.05099938,9.64800072,821.06762695,293.1000061,12.86182785,77.59371185,23,-,33,3.91601896,5.34401226,7.26211548,18.71214294,13.76980591,-,15.09607983,20.51445007,5.39999962,4,7.84313726,5.49612522,6.45160532,15.49969578,18.2248745,0.22098793,7.59613657,150,91.26599884,58.90100098,-10.92901802,13.89999962,-
Sun Feb 04 15:41:00 GMT+05:30 2018,04-Feb-2018 15:41:00.037,77.5936068,12.86184279,3.21,9.648001,822.71435546875,278.1,-0.06794462,-0.3479377,0.12657173,0.75501633,28,9.04081631,4.25961542,-,0.27751192,0.32367009,226.6181488,0,71,8.34891129,15.29411793,1482.25,0.04458024,1.1766628,19.61104584,-,-,48.02170944,0.05307172,9.64800072,822.71435547,278.1000061,12.86184311,77.59360504,23,11.19607449,33,4.35113192,4.24923182,7.25845861,23.53317451,13.77674294,-,12.00347996,20.50411987,11.55599976,13,7.84313726,-,6.34696436,15.75523567,17.92927742,0.2313614,7.60651016,155,96.29199982,58.90100098,-10.05879211,14,-
Sun Feb 04 15:41:05 GMT+05:30 2018,04-Feb-2018 15:41:05.033,77.5934089,12.86186533,3.66,10.72,824.1002197265625,272.6,0.12442257,-0.2159033,0.1226676,0.99626696,28,9.1960783,4.42452812,-,0.27751192,0.32367009,226.6181488,0,72,1.1006887,58.8235321,766,0.04458024,1.1766628,19.61104584,-,-,48.02170944,0.05307172,10.72000027,824.10021973,272.6000061,12.86186504,77.59340668,17,1.47604787,33,3.04579258,10.4429121,7.26008272,9.5756731,13.77366161,-,29.49975204,20.50870705,13.17599964,10,8.23529434,-,6.42281532,15.56917286,18.14354515,0.24858947,7.62373829,159,101.03700256,58.90100098,-11.07405663,14,-
Sun Feb 04 15:41:10 GMT+05:30 2018,04-Feb-2018 15:41:10.028,77.59331122,12.86189615,2.52,10.72,823.2625732421875,272.4,-0.01017793,-0.3651439,0.2969242,0.77039337,28,9.20370388,4.55963326,-,0.07395549,0.29431483,226.61206055,0,72,0.6924656,90.58823395,978.25,0.04560111,0.45160767,7.52679491,-,-,48.01984024,0.05428705,10.72000027,823.26257324,272.3999939,12.86189651,77.5933075,21,0.92861164,33,12.76332092,9.58573437,7.26126814,10.43195152,13.77141285,-,27.07834625,20.51205635,9.07199955,11,28.23529434,-,6.48032284,15.43100929,18.30599594,0.26037598,7.63552475,165,106.26100159,58.90100098,-10.92901802,14,-
