GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°C),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometric pressure (from vehicle)(psi),Cost per mile/km (Instant)($/km),Cost per mile/km (Trip)($/km),Distance to empty (Estimated)(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Rail Pressure(psi),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Sun Feb 04 16:23:09 GMT+05:30 2018,04-Feb-2018 16:23:08.393,77.59319696,12.86062849,0.43,11.792,822.9697265625,52.6,-0.02144324,0.04584947,0.5260331,0.72347218,-,4,1.60000002,-,0.73286831,0.35926163,231.07409668,0,42,-,23.13725471,632,0.00790901,0.06488588,1.08143127,-,-,47.72732925,0.00941549,11.79199982,822.96972656,52.59999847,12.86062813,77.59320068,18,-,28,4.49617004,0,7.44824028,-,13.42571068,-,0,21.04022789,1.54799998,0,6.27450991,-,2.02169967,49.46230316,5.71101618,0.03542916,12.9830637,69,29.83499908,39.20800018,-10.49390602,13.80000019,-
Sun Feb 04 16:23:14 GMT+05:30 2018,04-Feb-2018 16:23:13.395,77.59322473,12.86058207,1.37,11.792,822.829833984375,106.7,0.14053524,0.12760921,0.35696232,0.97527951,-,3.66666675,1.57142854,-,∞,0.39808986,231.06138611,0,43,0.4476161,33.72549057,982,0.0087638,1.51441848,25.24030876,-,-,47.72576523,0.01043309,11.79199982,822.82983398,106.69999695,12.86058235,77.59322357,11,0.60026306,28,6.38166046,0,7.44807482,-,13.42600918,-,0,21.03975868,4.93199968,6,7.05882359,-,2.01429415,49.64414978,5.69009638,0.0406875,12.98832226,74,34.13299942,39.95600128,-8.31833935,13.60000038,-
Sun Feb 04 16:23:19 GMT+05:30 2018,04-Feb-2018 16:23:18.393,77.59327542,12.86052879,1.76,12.864,821.1676025390625,75.6,-0.09242498,-0.02962476,0.33035976,0.74446118,-,4.25,2.125,-,0.64292639,0.45518103,230.89292908,0,43,-,34.90196228,961,0.01261424,2.28523827,38.08730698,-,-,47.71871185,0.01501696,12.86400032,821.16760254,75.59999847,12.86052895,77.59327698,14,-,28,6.67173576,2.62550092,7.44166327,38.08717728,13.43757629,-,7.41666937,21.02164841,6.33599997,6,7.05882359,-,2.17399597,45.99728775,6.14123154,0.04885916,12.99649334,79,39.06100082,39.95600128,-8.02826405,14,-
Sun Feb 04 16:23:24 GMT+05:30 2018,04-Feb-2018 16:23:23.394,77.59332398,12.86044428,1.73,13.936001,821.906494140625,88.3,-0.04059196,0.11259773,0.61639595,0.62609434,-,4.5,2.42307687,-,0.37014037,0.44595352,230.81217957,0,44,-,37.25490189,1028,0.01386273,2.01379323,33.56322098,-,-,47.71642685,0.01650325,13.93600082,821.90649414,88.30000305,12.86044407,77.59332275,11,-,28,4.49617004,2.97940016,7.43958282,33.56310654,13.44133377,-,8.4163847,21.01577187,6.22799969,7,5.49019623,-,2.2213726,45.0162735,6.27506399,0.05667514,13.00430965,84,44.06600189,39.95600128,-10.20382977,14.10000038,-
Sun Feb 04 16:23:29 GMT+05:30 2018,04-Feb-2018 16:23:28.397,77.59330329,12.8603686,0.87,13.936001,822.45068359375,192.8,0.01307316,0.02071058,0.57008451,0.73677421,-,4.64705896,2.72413802,-,0.98171854,0.43398249,230.60520935,0,45,-,32.15686417,897,0.01662308,1.34227324,22.37121964,-,-,47.71137238,0.01978938,13.93600082,822.45068359,192.80000305,12.86036873,77.59329987,6,-,28,5.51143408,3.72495914,7.43405104,26.84537315,13.45133686,-,10.52248383,21.00014305,3.13199997,0,5.88235283,-,2.40996099,41.49358368,6.80779934,0.06287708,13.0105114,89,48.27099991,40.75400162,-9.18856621,13.80000019,-
Sun Feb 04 16:23:34 GMT+05:30 2018,04-Feb-2018 16:23:33.399,77.59336227,12.86038074,0.55,13.936001,822.015869140625,89.5,0.03583271,-0.17819652,0.54366547,0.76307034,-,4.64705896,2.54838705,-,0.72372013,0.45353135,230.54191589,0,45,-,33.72549057,893,0.01771944,1.58151305,26.35854912,-,-,47.70936203,0.02109457,13.93600082,822.01586914,89.5,12.86038113,77.5933609,7,-,28,5.94654703,0,7.43388605,-,13.45163441,-,0,20.99967766,1.98000002,0,5.88235283,-,2.40449619,41.58789062,6.79236221,0.06287708,13.0105114,94,48.27099991,46.09400177,-8.89849091,13.5,-
Sun Feb 04 16:23:39 GMT+05:30 2018,04-Feb-2018 16:23:38.400,77.59349608,12.86032027,2.0,28.944,816.942626953125,92.0,0.00130859,-0.19351131,0.55104756,0.71291703,-,4.64705896,2.19444442,-,∞,0.52469796,230.5071106,0,46,-,34.90196228,954,0.02049991,1.92585146,32.09752655,-,-,47.70426941,0.02440466,28.94400024,816.94262695,92,12.86032009,77.59349823,6,-,28,6.38166046,0,7.43355703,-,13.45223045,-,0,20.99874878,7.19999981,0,7.05882359,-,2.39432406,41.76456833,6.76362753,0.06287708,13.0105114,99,48.27099991,50.96099854,-8.1733017,14.10000038,-
Sun Feb 04 16:23:42 GMT+05:30 2018,04-Feb-2018 16:23:43.396,77.59350781,12.86033394,0.62,51.456,816.998046875,93.9,0.00725843,-0.16526155,0.53799129,0.73494351,-,4.64705896,2.13513517,-,∞,0.57519752,230.47944641,0,46,-,34.11764908,936,0.02247293,1.97420752,32.90345764,-,-,47.70065689,0.02675349,51.45600128,816.99804688,93.90000153,12.8603344,77.59350586,0,-,28,6.38166046,0,7.43322802,-,13.45282555,-,0,20.9978199,2.23199987,0,6.66666698,-,2.38502192,41.92746353,6.73734999,0.06287708,13.0105114,104,48.27099991,56.08499908,-8.463377,13.80000019,-
Sun Feb 04 16:23:49 GMT+05:30 2018,04-Feb-2018 16:23:48.400,77.59347891,12.86030106,0.33,41.808002,814.525146484375,131.8,-0.0480449,0.195944,-0.15476549,0.81828821,-,4.0999999,1.9523809,-,2.20980215,0.58809346,230.36856079,0,47,0.05008099,36.86274719,907,0.02315948,0.43694288,7.28238106,-,-,47.69939804,0.02757081,41.80800247,814.52514648,131.80000305,12.86030102,77.59347534,7,0.06715971,28,6.38166046,0.51658082,7.42680407,193.57653809,13.46446133,-,1.45926785,20.97967339,-,0,6.66666698,0.52094543,2.24625087,44.51769638,6.34534168,0.06378653,13.0114212,109,51.73699951,57.54499817,-8.31833935,13.5,-
Sun Feb 04 16:23:54 GMT+05:30 2018,04-Feb-2018 16:23:53.396,77.59337522,12.86033592,0.66,25.728,813.739013671875,337.7,-0.11000854,0.02119898,-0.54031509,0.60650837,-,4.0999999,1.9069767,-,4.26240063,0.61167884,230.25952148,0,48,-,49.80392075,975,0.02424391,1.91257644,31.87627411,-,-,47.6974144,0.0288618,25.72800064,813.73901367,337.70001221,12.8603363,77.59337616,11,-,28,6.52669811,0,7.42664003,-,13.46475887,-,0,20.9792099,2.37599993,0,7.45098066,-,2.24243093,44.59353638,6.33455038,0.06378653,13.0114212,114,51.73699951,62.61000061,-8.31833935,13.39999962,-
